"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1566","popularly","1988",71.44272528,"ɒ","p","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1567","population","1983",136.0446297,"ɒ","p","medial",0,0,0,0,1,0,0,0,0,0,1,0,0,0,"normal release"
"1568","population","1983",136.0446297,"ei","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1569","population","2018",221.88282,"ɒ","p","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1570","population","2018",221.88282,"ei","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1571","Portugal","1957",251.37,"ɔ","tʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1572","possibilities","2001",278.9830793,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1573","possible","1957",15.03058211,"ɒ","s","medial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1574","possible","1957",68.64667328,"ɒ","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1575","possible","1958",44.98,"ɒ","s","medial",1,1,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1576","possible","1972",52.34048225,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1577","possible","1983",324.4193569,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1578","possible","1994",84.37460504,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1579","practical","2000",160.5218472,"æ","k","medial",0,1,1,1,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1580","practical","2000",201.528922,"æ","k","medial",0,0,0,1,0,1,1,0,0,0,0,0,0,0,"unreleased"
"1581","practical","2005",133.9681014,"æ","k","medial",1,1,1,1,0,0,0,1,1,0,0,0,0,0,"affricated"
"1582","preacher","2000",72.08510806,"i","tʃ","medial",0,0,0,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
"1583","precious","1975",36.9287714,"ɛ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1584","precious","1988",227.2322575,"ɛ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1585","pressures","2000",178.7225395,"ɛ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1586","prices","1983",198.4839245,"ai","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1587","priest","2018",23.71379381,"i","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1588","princess","1958",118.1231223,"ɛ","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1589","princess","1958",129.3745262,"ɛ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1590","process","2005",202.6289911,"ɛ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
